Bid 1: Tech Solutions Ltd.,Bid 2: Apex Computers,Bid 3: Innovate Tech,Bid 4: Digital Edge
,,,
Technical Proposal:,Technical Proposal:,Technical Proposal:,Technical Proposal:
,,,
Processor: Intel Core i7 (11th Gen),Processor: AMD Ryzen 7 (5000 series),Processor: Intel Core i7 (12th Gen),Processor: AMD Ryzen 7 (4000 series)
RAM: 16GB DDR4,RAM: 16GB DDR4,RAM: 16GB DDR4,RAM: 16GB DDR4
Storage: 512GB SSD,Storage: 1TB SSD,Storage: 512GB SSD,Storage: 512GB SSD
Display: 15.6-inch FHD (1920x1080) IPS,Display: 14-inch FHD (1920x1080) IPS,Display: 15.6-inch FHD (1920x1080) IPS,Display: 14-inch FHD (1920x1080) IPS
Graphics: Integrated Graphics,Graphics: Dedicated Graphics with 2GB VRAM,Graphics: Integrated Graphics,Graphics: Integrated Graphics
Battery Life: 10 hours,Battery Life: 9 hours,Battery Life: 8 hours,Battery Life: 8 hours
"Ports: 2 USB 3.0, 1 USB Type-C, HDMI, 3.5mm audio jack, Ethernet port","Ports: 2 USB 3.0, 1 USB Type-C, HDMI, 3.5mm audio jack, Ethernet port","Ports: 2 USB 3.0, 1 USB Type-C, HDMI, 3.5mm audio jack, Ethernet port","Ports: 2 USB 3.0, 1 USB Type-C, HDMI, 3.5mm audio jack, Ethernet port"
"Connectivity: Wi-Fi 6, Bluetooth 5.0","Connectivity: Wi-Fi 6, Bluetooth 5.0","Connectivity: Wi-Fi 6, Bluetooth 5.0","Connectivity: Wi-Fi 6, Bluetooth 5.0"
Operating System: Windows 11 Pro,Operating System: Windows 10 Pro,Operating System: Windows 10 Pro,Operating System: Windows 11 Pro
Keyboard: Backlit keyboard,Keyboard: Backlit keyboard,Keyboard: Backlit keyboard,Keyboard: Backlit keyboard
Weight: 2.2 kg,Weight: 2.0 kg,Weight: 2.3 kg,Weight: 2.1 kg
Warranty: 3 years onsite warranty,Warranty: 3 years onsite warranty,Warranty: 3 years onsite warranty,Warranty: 3 years onsite warranty
,,,
Software:,Software:,Software:,Software:
,,,
Pre-installed Windows 11 Pro with license,Pre-installed Windows 10 Pro with license,Pre-installed Windows 10 Pro with license,Pre-installed Windows 11 Pro with license
Microsoft Office 365 Business,Microsoft Office 365 Business,Microsoft Office 365 Business,Microsoft Office 365 Business
Antivirus with 3-year subscription,Antivirus with 3-year subscription,Antivirus with 3-year subscription,Antivirus with 3-year subscription
,,,
Financial Proposal:,Financial Proposal:,Financial Proposal:,Financial Proposal:
,,,
"Unit Price: $1,200 per laptop","Unit Price: $1,150 per laptop","Unit Price: $1,250 per laptop","Unit Price: $1,100 per laptop"
"Total Cost for 100 Laptops: $120,000","Total Cost for 100 Laptops: $115,000","Total Cost for 100 Laptops: $125,000","Total Cost for 100 Laptops: $110,000"
"Additional Software and Services: $5,000","Additional Software and Services: $4,000","Additional Software and Services: $3,500","Additional Software and Services: $4,500"
"Total Cost: $125,000","Total Cost: $119,000","Total Cost: $128,500","Total Cost: $114,500"
"Payment Terms: 50% advance, 50% on delivery","Payment Terms: 30% advance, 70% on delivery","Payment Terms: 40% advance, 60% on delivery","Payment Terms: 25% advance, 75% on delivery"
,,,
Delivery Schedule:,Delivery Schedule:,Delivery Schedule:,Delivery Schedule:
,,,
Lead Time: 4 weeks from the purchase order,Lead Time: 5 weeks from the purchase order,Lead Time: 6 weeks from the purchase order,Lead Time: 3 weeks from the purchase order
Delivery Deadline: [Insert Date],Delivery Deadline: [Insert Date],Delivery Deadline: [Insert Date],Delivery Deadline: [Insert Date]
